NUM,AIRPORTS,LAT,LON,X,Y
3262,"Bintulu Airport",3.123850107,113.0199966,347.3132622598984,10626.600226180028
3263,"Kuching International Airport",1.484699965,110.3470001,165.08648477229698,10459.718706108555
3264,"Limbang Airport",4.808300018,115.0100021,534.5016887521045,10747.091336980071
3265,"Marudi Airport",4.178979874,114.3290024,464.5783668942243,10706.221051336259
3266,"Miri Airport",4.32201004,113.9869995,480.4716549494589,10685.552983441283
3267,"Sibu Airport",2.261600018,111.9850006,251.46212256650566,10562.664005103481
3268,"Lahad Datu Airport",5.032249928,118.3239975,559.3808270246715,10940.537278133486
3269,"Kota Kinabalu International Airport",5.937210083,116.0510025,659.8923029495395,10808.833059155637
3270,"Labuan Airport",5.300680161,115.25,589.1985687271374,10761.404463583976
3271,"Tawau Airport",4.320159912,118.1279984,480.26607634877445,10929.349350267868
3295,"Kluang Airport",2.041389942,103.3069992,226.98019882189948,9993.207951266739
3296,"Sultan Abdul Halim Airport",6.189670086,100.3980026,687.9252790545715,9789.326487299451
3297,"Butterworth Airport",5.465919971,100.3909988,607.552124383601,9788.82794945605
3298,"Sultan Ismail Petra Airport",6.16685009,102.2929993,685.391498441491,9922.86472969216
3299,"Kuantan Airport",3.77538991,103.2089996,419.7282606461482,9986.443591158542
3300,"Kerteh Airport",4.537220001,103.427002,504.3840304537789,10001.481113202037
3301,"Simpang Airport",3.11225009,101.7030029,346.0238766928601,9881.577569380437
3302,"Sultan Azlan Shah Airport",4.567969799,101.0920029,507.80055390855006,9838.544514755396
3303,"Senai International Airport",1.64131,103.669998,182.49910488907526,10018.199998172064
3304,"Kuala Lumpur International Airport",2.745579958,101.7099991,305.2653529190011,9882.0686909759
3305,"Langkawi International Airport",6.329730034,99.72869873,703.4760030070157,9741.519773276594
3306,"Malacca Airport",2.263360024,102.2519989,251.65778816117955,9920.00406855032
3307,"Sultan Mahmud Airport",5.382639885,103.1029968,598.3021742850796,9979.118592448167
3308,"Penang International Airport",5.297140121,100.2770004,588.8053550176019,9780.708283419628
3407,"Pulau Tioman Airport",2.818180084,104.1600037,313.33573975318376,10051.776833396098
3408,"Sultan Abdul Aziz Shah International Airport",3.130579948,101.5490036,348.06130779637317,9870.757749335715
4013,"LTS Pulau Redang Airport",5.76527977,103.0070038,640.7994436926092,9972.477922310665
4056,"Mulu Airport",4.04832983,114.8050003,450.0601054600982,10734.827993307399
4141,"Sandakan Airport",5.900899887,118.0589981,655.8601783955569,10925.403096636623
6214,"Belaga Airport",2.650000095,113.7669983,294.64030255549017,10672.207456984614
6215,"Long Lellang Airport",3.421000004,115.1539993,380.34134190826586,10755.684782093133
6216,"Long Seridan Airport",3.967000008,115.0500031,441.0221722233834,10749.480214072051
6217,"Mukah Airport",2.90639,112.080002,323.14117501016386,10568.568652148513
6218,"Bakalalan Airport",3.973999977,115.6179962,441.80006607354056,10783.259521159
6219,"Lawas Airport",4.84917,115.407997,539.0421891857063,10770.801412596085
6220,"Bario Airport",3.733890057,115.4789963,415.116164378865,10775.017463833465
6221,"Tomanggong Airport",5.40257,118.65763,600.5158485112643,10959.507901549856
6222,"Kudat Airport",6.922500134,116.8359985,769.2787951386147,10854.801496582057
6230,"Pulau Pangkor Airport",4.244719982,100.5530014,471.88339612280373,9800.350101567703
6769,"Long Akah Airport",3.299999952,114.7829971,366.8925357412696,10733.509704943024
