AIRPORTS,DATE,TIME,FLIGHT,ORIGIN,AIRCRAFT,AIRLINE/OPERATOR,STATUS,DURATION
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,14:20ÿMYT,MH2609,Labuanÿ(LBU/WBKL),B738,Malaysia Airlines,EST. DEPART IN 5h 19m,02h20m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,14:05ÿMYT,MH2661,Tawauÿ(TWU/WBKW),B738,Malaysia Airlines,EST. DEPART IN 4h 44m,02h40m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,13:45ÿMYT,SQ114,Singaporeÿ(SIN/WSSS),B738,Singapore Airlines,SCHEDULED IN 6h 4m,01h00m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,12:50ÿMYT,MH1433,Langkawiÿ(LGK/WMKL),B738,Malaysia Airlines,CANCELLED,01h05m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,12:35ÿMYT,EY418,Abu Dhabiÿ(AUH/OMAA),B789ÿ(A6-BLV),Etihad Airways,LANDING LATE IN 6h 39m,07h23m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,12:10ÿMYT,MH1052,Senaiÿ(JHB/WMKJ),B738,Malaysia Airlines,EST. DEPART IN 4h 39m,00h50m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,11:50ÿMYT,GA820,Jakartaÿ(CGK/WIII),B738,Garuda Indonesia,SCHEDULED IN 2h 44m,02h25m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,11:20ÿMYT,MH1143,Penangÿ(PEN/WMKP),B738,Malaysia Airlines,CANCELLED,01h00m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,10:40ÿMYT,3K663,Singaporeÿ(SIN/WSSS),-,JetStar Asia Airways,SCHEDULED IN 2h 44m,01h15m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,09:30ÿMYT,SQ106,Singaporeÿ(SIN/WSSS),B738,Singapore Airlines,SCHEDULED IN 1h 49m,01h00m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,08:05ÿMYT,CV7946,Singaporeÿ(SIN/WSSS),B744,Cargolux,SCHEDULED 1h AGO,02h25m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,,BR217,Taipeiÿ(TPE/RCTP),B77Wÿ(B-16732),EVA Air,LIVE,
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,,CZ8021,Guangzhouÿ(CAN/ZGGG),B789ÿ(B-1168),China Southern Airlines,LIVE,
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,,CV6568,Dubaiÿ(DWC/OMDW),B748ÿ(LX-VCA),Cargolux,LIVE,
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,05:00ÿMYT,YG9029,Tianjinÿ(TSN/ZBTJ),-,YTO Cargo Airlines,SCHEDULED 3h 45m AGO,02h05m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 25,04:00ÿMYT,CI5854,Jakartaÿ(CGK/WIII),B744,China Airlines,SCHEDULED 4h 40m AGO,02h00m
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 24,,MH128,"Melbourne, VICÿ(MEL/YMML)",A333ÿ(9M-MTK),Malaysia Airlines,STATUS N/A,
Kuala Lumpur International Airport ( KUL / WMKK ),2021 Jul 24,,HX2747,Hong Kongÿ(HKG/VHHH),A333ÿ(B-LNQ),Hong Kong Airlines,DEPARTED 7h 33m AGO,
Kuantan Airport ( KUA / WMKD ),2021 Jul 26,10:15ÿMYT,MH1268,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,SCHEDULED IN 1d 2h,00h50m
Kuantan Airport ( KUA / WMKD ),2021 Jul 24,10:15ÿMYT,MH1268,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,CANCELLED,00h50m
Kuantan Airport ( KUA / WMKD ),2021 Jul 23,10:15ÿMYT,MH1268,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,CANCELLED,00h50m
Kuching International Airport ( KCH / WBGG ),2021 Jul 26,15:30ÿMYT,AK6191,Miriÿ(MYY/WBGR),-,AirAsia,SCHEDULED IN 1d 7h,01h00m
Kuching International Airport ( KCH / WBGG ),2021 Jul 26,15:25ÿMYT,MH3712,Tanjung Manisÿ(TGC/WBGT),DHC6,Malaysia Airlines,SCHEDULED IN 1d 8h,00h40m
Kuching International Airport ( KCH / WBGG ),2021 Jul 26,13:25ÿMYT,MH3416,Mukahÿ(MKM/WBGK),DHC6,Malaysia Airlines,SCHEDULED IN 1d 5h,01h05m
Kuching International Airport ( KCH / WBGG ),2021 Jul 26,11:30ÿMYT,MH3414,Mukahÿ(MKM/WBGK),DHC6,Malaysia Airlines,SCHEDULED IN 1d 3h,01h05m
Kuching International Airport ( KCH / WBGG ),2021 Jul 26,11:00ÿMYT,MH3761,Limbangÿ(LMN/WBGJ),AT72,Malaysia Airlines,SCHEDULED IN 1d 2h,01h45m
Kuching International Airport ( KCH / WBGG ),2021 Jul 26,10:35ÿMYT,MH3412,Mukahÿ(MKM/WBGK),DHC6,Malaysia Airlines,SCHEDULED IN 1d 2h,01h05m
Kuching International Airport ( KCH / WBGG ),2021 Jul 26,10:30ÿMYT,OD1606,Kuala Lumpurÿ(KUL/WMKK),B738ÿ(9M-LNS),Malindo Air,SCHEDULED IN 1d 2h,01h45m
Kuching International Airport ( KCH / WBGG ),2021 Jul 25,19:35ÿMYT,TR430,Singaporeÿ(SIN/WSSS),-,Scoot,SCHEDULED IN 11h 24m,01h30m
Kuching International Airport ( KCH / WBGG ),2021 Jul 25,15:55ÿMYT,MH2536,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,EST. DEPART IN 7h 24m,01h50m
Kuching International Airport ( KCH / WBGG ),2021 Jul 25,15:30ÿMYT,AK6191,Miriÿ(MYY/WBGR),-,AirAsia,EST. DEPART IN 7h 49m,01h00m
